2023-10-27 16:11:50.5450|0|INFO|Program|Program initial |url: |action: |Program.<Main>$| body: 
2023-10-27 16:11:51.2171|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5219 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync| body: 
2023-10-27 16:11:51.2171|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-10-27 16:11:51.2171|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-10-27 16:11:51.2171|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\5Sem\LuxeLooks\LuxeLooks\LuxeLooks\LuxeLooks |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-10-27 16:12:51.3351|0|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Account/Register|action: |Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware.TryGetHttpsPort| body: 
2023-10-27 16:13:01.9080|0|ERROR|LuxeLooks.Service.Services.UserService|User with username: Alexe1y not found |url: http://localhost/Account/Register|action: Register|LuxeLooks.Service.Services.UserService.HandleError| body: 
2023-10-27 16:13:03.3446|0|INFO|LuxeLooks.Controllers.Account.AccountController|Successfuly register user: Alexe1y |url: http://localhost/Account/Register|action: Register|LuxeLooks.Controllers.Account.AccountController.Register| body: 
2023-10-27 16:13:04.2672|0|INFO|LuxeLooks.Service.Services.RoleService|Successfully get role with id: f272aa8d-d1f8-452e-9a7b-7c8153fa2885 |url: http://localhost/Account/Register|action: Register|LuxeLooks.Service.Services.RoleService.GetByIdAsync| body: 
2023-10-27 16:13:04.6863|0|INFO|LuxeLooks.Controllers.Account.AccountController|Successfuly login user: Alexe1y |url: http://localhost/Account/Register|action: Register|LuxeLooks.Controllers.Account.AccountController.Authenticate| body: 
2023-10-27 16:13:27.4163|0|INFO|LuxeLooks.Service.Services.RoleService|Successfully get role with id: f272aa8d-d1f8-452e-9a7b-7c8153fa2885 |url: http://localhost/Account/Login|action: Authenticate|LuxeLooks.Service.Services.RoleService.GetByIdAsync| body: 
2023-10-27 16:13:27.4331|0|INFO|LuxeLooks.Controllers.Account.AccountController|Successfuly login user: Alexe1y |url: http://localhost/Account/Login|action: Authenticate|LuxeLooks.Controllers.Account.AccountController.Authenticate| body: 
2023-10-27 16:13:54.7717|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
2023-10-27 16:14:05.4965|0|INFO|Program|Program initial |url: |action: |Program.<Main>$| body: 
2023-10-27 16:14:05.7306|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5219 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync| body: 
2023-10-27 16:14:05.7306|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-10-27 16:14:05.7306|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-10-27 16:14:05.7306|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\5Sem\LuxeLooks\LuxeLooks\LuxeLooks\LuxeLooks |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-10-27 16:14:06.5644|0|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/swagger|action: |Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware.TryGetHttpsPort| body: 
2023-10-27 16:15:15.3477|0|INFO|LuxeLooks.Service.Services.RoleService|Successfully get role with id: f272aa8d-d1f8-452e-9a7b-7c8153fa2885 |url: http://localhost/Account/Login|action: Authenticate|LuxeLooks.Service.Services.RoleService.GetByIdAsync| body: 
2023-10-27 16:15:15.6113|0|INFO|LuxeLooks.Controllers.Account.AccountController|Successfuly login user: Alexe1y |url: http://localhost/Account/Login|action: Authenticate|LuxeLooks.Controllers.Account.AccountController.Authenticate| body: 
2023-10-27 16:16:39.8526|0|INFO|Program|Program initial |url: |action: |Program.<Main>$| body: 
