2023-10-07 10:48:24.6952|0|INFO|Program|Program initial |url: |action: |Program.<Main>$| body: 
2023-10-07 10:48:24.8115|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5219 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync| body: 
2023-10-07 10:48:24.8115|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-10-07 10:48:24.8115|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-10-07 10:48:24.8115|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\5Sem\LuxeLooks\LuxeLooks\LuxeLooks\LuxeLooks |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-10-07 10:48:25.1689|0|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/swagger|action: |Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware.TryGetHttpsPort| body: 
2023-10-07 10:51:11.9459|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
2023-10-07 10:53:51.8482|0|INFO|Program|Program initial |url: |action: |Program.<Main>$| body: 
2023-10-07 10:53:52.4673|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5219 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync| body: 
2023-10-07 10:53:52.4673|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-10-07 10:53:52.4673|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-10-07 10:53:52.4673|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\5Sem\LuxeLooks\LuxeLooks\LuxeLooks\LuxeLooks |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-10-07 10:53:53.0918|0|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/swagger|action: |Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware.TryGetHttpsPort| body: 
2023-10-07 11:00:31.9569|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
2023-10-07 12:27:43.3291|0|INFO|Program|Program initial |url: |action: |Program.<Main>$| body: 
2023-10-07 12:27:43.4083|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5219 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync| body: 
2023-10-07 12:27:43.4083|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-10-07 12:27:43.4083|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-10-07 12:27:43.4083|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\5Sem\LuxeLooks\LuxeLooks\LuxeLooks\LuxeLooks |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-10-07 12:27:43.8577|0|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/swagger|action: |Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware.TryGetHttpsPort| body: 
2023-10-07 12:28:01.0732|0|ERROR|LuxeLooks.Service.Services.UserService|User with username: Ivanusha not found |url: http://localhost/Account/Register|action: Register|LuxeLooks.Service.Services.UserService.HandleError| body: 
2023-10-07 12:28:02.5093|0|INFO|LuxeLooks.Controllers.Account.AccountController|Successfuly register user: Ivanusha |url: http://localhost/Account/Register|action: Register|LuxeLooks.Controllers.Account.AccountController.Register| body: 
2023-10-07 12:28:03.4527|0|INFO|LuxeLooks.Service.Services.RoleService|Successfully get role with id: 6c163236-1979-41a3-b736-8e2496b596f3 |url: http://localhost/Account/Register|action: Register|LuxeLooks.Service.Services.RoleService.GetByIdAsync| body: 
2023-10-07 12:28:03.7652|0|INFO|LuxeLooks.Controllers.Account.AccountController|Successfuly login user: Ivanusha |url: http://localhost/Account/Register|action: Register|LuxeLooks.Controllers.Account.AccountController.Authenticate| body: 
2023-10-07 12:28:22.1130|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
